district,latitude,longitude,label
Dobong-gu,37.6658609,127.0317674,Gangbuk
Eunpyeong-gu,37.6176125,126.9227004,Gangseo
Dongdaemun-gu,37.5838012,127.0507003,Gangdong
Dongjak-gu,37.4965037,126.9443073,Gangnam
Geumcheon-gu,37.4600969,126.9001546,Gangseo
Guro-gu,37.4954856,126.858121,Gangseo
Jongno-gu,37.5990998,126.9861493,Gangbuk
Gangbuk-gu,37.6469954,127.0147158,Gangbuk
Jungnang-gu,37.5953795,127.0939669,Gangdong
Gangnam-gu,37.4959854,127.0664091,Gangnam
Gangseo-gu,37.5657617,126.8226561,Gangseo
Jung-gu,37.5579452,126.9941904,Gangbuk
Gangdong-gu,37.5492077,127.1464824,Gangdong
Gwangjin-gu,37.5481445,127.0857528,Gangdong
Mapo-gu,37.5622906,126.9087803,Gangseo
Seocho-gu,37.4769528,127.0378103,Gangnam
Seongbuk-gu,37.606991,127.0232185,Gangbuk
Nowon-gu,37.655264,127.0771201,Gangbuk
Songpa-gu,37.5048534,127.1144822,Gangnam
Seodaemun-gu,37.5820369,126.9356665,Gangseo
Yangcheon-gu,37.5270616,126.8561534,Gangseo
Yeongdeungpo-gu,37.520641,126.9139242,Gangseo
Gwanak-gu,37.4653993,126.9438071,Gangnam
Seongdong-gu,37.5506753,127.0409622,Gangdong
Yongsan-gu,37.5311008,126.9810742,Gangbuk
